34	en	Homeless had portrayed the main character of his poem - that is, Jesus - in very dark colours, but nevertheless the whole poem, in the editor's opinion, had to be written over again.
169	en	So you will have to find that out from him yourself, Ivan Nikolaevich!'
186	en	'The devil, he heard everything...' Berlioz thought, and with a polite gesture indicated that there was no need to show papers.
305	en	He gazed with dull eyes at the arrested man and was silent for a time, painfully trying to remember why there stood before him in the pitiless morning sunlight of Yershalaim this prisoner with his face disfigured by beating, and what other utterly unnecessary questions he had to ask him.
335	en	He had to believe.
377	de	Sie brauchen nichts mehr zu notieren", wandte er sich an den Sekretär, obschon dieser längst aufgehört hatte, und fuhr dann, zu Jeschua gewandt, fort: "In welchem griechischen Buch hast du das gelesen?"
414	en	`I have no need to know,' Pilate responded in a stifled, angry voice, 'whether it is pleasant or unpleasant for you to speak the truth.
415	en	You will have to speak it anyway.
492	en	According to the law, according to custom, one of these two criminals had to be released in honour of the great feast of Passover, which would begin that day.
548	de	"O nein!" rief Pilatus aus, und mit jedem Wort wurde ihm leichter, denn jetzt brauchte er nicht mehr sich zu verstellen, nicht mehr die Worte zu wählen. "Gar zu oft hast du dich beim Kaiser über mich beklagt, Kaiphas, doch jetzt ist meine Stunde gekommen!
548	en	'Oh, no!' Pilate exclaimed, and he felt lighter and lighter with every word: there was no more need to pretend, no more need to choose his words, `you have complained about me too much to Caesar, and now my hour has come, Kaifa!
550	en	Remember how on account of you I had to remove the shields with the emperor's insignia from the walls, had to transfer troops, had, as you see, to come in person to look into what goes on with you here!
636	en	But it must be supposed that the professor did tell the story after all, otherwise it would have to be assumed that Berlioz had had the same dream, because he said, studying the foreigner's face attentively:
651	en	Berlioz realized at once what had to be done.
673	en	Berlioz's plan must be acknowledged as correct: he had to run to the nearest public telephone and inform the foreigners' bureau, thus and so, there's some consultant from abroad sitting at the Patriarch's Ponds in an obviously abnormal state. So it was necessary to take measures, lest some unpleasant nonsense result.
802	de	Er brauchte nicht lange zu warten. Ein kleines Mädchen von vielleicht fünf Jahren öffnete ihm und entfernte sich sofort, ohne ihm Fragen zu stellen.
802	en	He did not have to wait long. Some little girl of about five opened the door for Ivan and, without asking him anything, immediately went away somewhere.
950	en	Here again they silently berated Mikhail Alexandrovich: all the tables on the veranda, naturally, were occupied, and they had to stay for supper in those beautiful but airless halls.
979	de	Wozu braucht er ein wie immer abgefaßtes Telegramm, der Mann, dessen zerquetschtes Genick jetzt der Prosektor in seinen Gummihänden preßt und durch dessen Hals der Professor seine krummen Nadeln sticht?
980	de	Er ist tot, er braucht kein Telegramm.
1039	de	Das verstehen wir alle sehr gut. Sie brauchen Ruhe.
1041	en	'You,' Ivan interrupted, baring his teeth, "but don't you understand that the professor has to be caught?
1143	en	'"Pushed him", nothing!' Ivan exclaimed, angered by the general obtuseness. 'His kind don't need to push!
1158	de	Er hat persönlich mit Pontius Pilatus gesprochen. Da brauchen Sie gar nicht so zu kucken, ich sag's, wie's ist! Alles hat er gesehen, den Balkon und die Palmen.
1158	en	He spoke personally with Pontius Pilate. And there's no need to stare at me like that. I'm telling the truth! He saw everything - the balcony and the palm trees.
1258	de	Er brauchte nur den Kopf vom Tischlämpchen gen Himmel zu heben, um zu begreifen, daß die Nacht unwiederbringlich dahin war.
1283	de	Am dritten Tag fuhr Anna Franzewna, die schon die ganze Zeit unter Schlaflosigkeit litt, abermals eilig auf die Datsche. Ich brauche wohl nicht zu sagen, daß sie nicht zurückkehrte!
1316	en	Styopa was a shrewd man and, sick as he was, realized that since he had been found in this state, he would have to confess everything.
1403	de	"Und mein Gefolge braucht Platz", fuhr Voland fort, "demnach ist einer von uns zuviel in der Wohnung.
